	Accession org1	Taxonomic level 1: org1	Taxonomic level 2: org1	Taxonomic level 3: org1	Genus org1	Species org1	Accession org2	Taxonomic level 1: org2	Taxonomic level 2: org2	Taxonomic level 3: org2	Genus org2	Species org2	Reference 	Link	Ecological interaction	key_org1	key_org2	lineage_org1	lineage_org2
1115		Eukaryote	Stramenopiles	Bicosoecida	Pseudobodo	tremulans		Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonas		Fenchel 1982	10.3354/meps008211	predation	Eukaryote;Stramenopiles;Bicosoecida;Pseudobodo;tremulans	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonas	[4, 8770, 9629, 9630, 0, 0, 0, 9639]	[3, 2375, 3303, 3709, 3718, 3723]
1116		Eukaryote	Stramenopiles	Bicosoecida	Pseudobodo			Prokaryote	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	Rivier et al. 1985	https://www.researchgate.net/profile/Fereidoun_Rassoulzadegan/publication/292906842_Growth_of_microzooplankton_a_comparative_study_of_bactivorous_zooflagellates_and_ciliates_1/links/56b1d66b08ae795dd5c6dcbe.pdf	predation	Eukaryote;Stramenopiles;Bicosoecida;Pseudobodo	Bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria	[4, 8770, 9629, 9630, 0, 0, 0, 9639]	[3, 0, 0, 0, 0, 0]
1117	KT023596	Eukaryote	Obazoa	Breviatea	Lenisia	limosa		Prokaryote	Proteobacteria	Gammaproteobacteria	Alteromonas	macleodii	Hamann et al. 2016	10.1038/nature18297	predation	Eukaryota;Eukaryota sp. EH-2015	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonas;macleodii	[4, 0, 0, 0, 0, 0, 0, 0]	[3, 2375, 3303, 3333, 3334, 3339]
1118	HQ342676	Eukaryote	Obazoa	Breviatea	Subulatomonas	tetraspora		Prokaryote	Proteobacteria	Gammaproteobacteria	Enterobacter	aerogenes	Katz et al. 2011	https://doi.org/10.1016/j.protis.2011.05.002	predation	Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Breviatea;Subulatomonas;Subulatomonas tetraspora	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacter;aerogenes	[4, 46848, 46849, 46905, 0, 0, 0, 46908]	[3, 2375, 3303, 46449, 46454, 46462]
1119	HQ342677	Eukaryote	Obazoa	Breviatea	Subulatomonas	tetraspora		Prokaryote	Proteobacteria	Gammaproteobacteria	Klebsiella	pneumoniae	Katz et al. 2011	https://doi.org/10.1016/j.protis.2011.05.002	predation	Eukaryote;Obazoa;Breviatea;Subulatomonas;tetraspora	Bacteria;Proteobacteria;Gammaproteobacteria;Klebsiella;pneumoniae	[4, 46848, 46849, 46905, 0, 0, 0, 46908]	[3, 2375, 3303, 46449, 46454, 46465]
1120		Eukaryote	Excavata	Carpediemonas-like	Kipferlia	bialata		Prokaryote	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	Yubuki et al. 2013	https://doi.org/10.1016/j.protis.2013.02.002	predation	Eukaryote;Excavata;Carpediemonas-like;Kipferlia;bialata	Bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria	[4, 6228, 0, 0, 0, 0, 0, 0]	[3, 0, 0, 0, 0, 0]
1121		Eukaryote	Rhizaria	Cercozoa	Ovulinata	parva		Prokaryote	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	Anderson et al. 1996	https://doi.org/10.1017/S0025315400040832	predation	Eukaryote;Rhizaria;Cercozoa;Ovulinata;parva	Bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria	[4, 8770, 9387, 9388, 0, 0, 0, 0]	[3, 0, 0, 0, 0, 0]
1122	JX272635	Eukaryote	Rhizaria	Cercozoa	Minorisa	minuta		Prokaryote	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	del Campo et al. 2012	10.1038/ismej.2012.85	predation	Eukaryota;SAR;Rhizaria;Cercozoa;Chlorarachniophyta;Minorisa;Minorisa minuta	Bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria;unidentified_bacteria	[4, 8770, 9387, 9388, 9405, 0, 0, 9410]	[3, 0, 0, 0, 0, 0]
1123		Eukaryote	Rhizaria	Cercozoa	Penardia	cometa		Prokaryote	Proteobacteria	Gammaproteobacteria	Enterobacter	aeogenes	Mikrjukov et al. 1995	https://link.springer.com/content/pdf/10.1007%2FBF01280370.pdf	predation	Eukaryote;Rhizaria;Cercozoa;Penardia;cometa	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacter;aeogenes	[4, 8770, 9387, 9388, 0, 0, 0, 0]	[3, 2375, 3303, 46449, 46454, 46462]
1124		Eukaryote	Obazoa	Choanoflagellata	Mylnosiga	fluctuans		Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonas	putida	Boenigk & Arndt 2000	10.3354/ame022243	predation	Eukaryote;Obazoa;Choanoflagellata;Mylnosiga;fluctuans	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonas;putida	[4, 46848, 0, 0, 0, 0, 0, 0]	[3, 2375, 3303, 3709, 3718, 3723]
1125		Eukaryote	Obazoa	Choanoflagellata	Acanthocorbis	unguiculata		Prokaryote	Proteobacteria	Gammaproteobacteria	Vibrio		Davies & Sieburth 1984	http://www.int-res.com/articles/meps/19/m019p237.pdf	predation	Eukaryote;Obazoa;Choanoflagellata;Acanthocorbis;unguiculata	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrio	[4, 46848, 0, 0, 0, 0, 0, 0]	[3, 2375, 3303, 3775, 3776, 3783]
1126		Eukaryote	Obazoa	Choanoflagellata	Stephanoeca	diplocostata		Prokaryote	Proteobacteria	Gammaproteobacteria	unknown_gammaproteobacteria	unknown_gammaproteobacteria	Eccleston-Parry & Leadbeater 1994	http://eprints.lancs.ac.uk/22426/1/m105p167.pdf	predation	Eukaryote;Obazoa;Choanoflagellata;Stephanoeca;diplocostata	Bacteria;Proteobacteria;Gammaproteobacteria;unknown_gammaproteobacteria;unknown_gammaproteobacteria	[4, 46848, 0, 0, 46962, 0, 46967, 46973]	[3, 2375, 3303, 0, 0, 0]
1127		Eukaryote	Obazoa	Choanoflagellata	Hartaetosiga	gracilis		Prokaryote	Proteobacteria	Gammaproteobacteria	unknown_gammaproteobacteria	unknown_gammaproteobacteria	Eccleston-Parry & Leadbeater 1994	http://eprints.lancs.ac.uk/22426/1/m105p167.pdf	predation	Eukaryote;Obazoa;Choanoflagellata;Hartaetosiga;gracilis	Bacteria;Proteobacteria;Gammaproteobacteria;unknown_gammaproteobacteria;unknown_gammaproteobacteria	[4, 46848, 0, 0, 46962, 0, 46983, 46985]	[3, 2375, 3303, 0, 0, 0]
1128		Eukaryote	Obazoa	Choanoflagellata	Monosiga			Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonas		Fenchel 1982	10.3354/meps008211	predation	Eukaryote;Obazoa;Choanoflagellata;Monosiga	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonas	[4, 46848, 0, 0, 46962, 46976, 0, 46978]	[3, 2375, 3303, 3709, 3718, 3723]
1129		Eukaryote	Obazoa	Choanoflagellata	Stephanoeca	diplocostata		Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonas		Geider & Leadbeater 1988	http://www.int-res.com/articles/meps/47/m047p169.pdf	predation	Eukaryote;Obazoa;Choanoflagellata;Stephanoeca;diplocostata	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonas	[4, 46848, 0, 0, 46962, 0, 46967, 46973]	[3, 2375, 3303, 3709, 3718, 3723]
1130		Eukaryote	Stramenopiles	Chrysophyceae	Ochromonas	danica		Prokaryote	Firmicutes	Bacilli	Bacillus	megaterium	Aaronsen 1974	10.1099/00221287-83-1-21	predation	Eukaryote;Stramenopiles;Chrysophyceae;Ochromonas;danica	Bacteria;Firmicutes;Bacilli;Bacillus;megaterium	[4, 8770, 9629, 0, 9733, 9767, 0, 9772]	[3, 1672, 1673, 1674, 1680, 1688]
1131		Eukaryote	Stramenopiles	Chrysophyceae	Ochromonas	danica		Prokaryote	Firmicutes	Clostridia	Sarcina	lutea	Aaronsen 1974	10.1099/00221287-83-1-21	predation	Eukaryote;Stramenopiles;Chrysophyceae;Ochromonas;danica	Bacteria;Firmicutes;Clostridia;Sarcina;lutea	[4, 8770, 9629, 0, 9733, 9767, 0, 9772]	[3, 1672, 1859, 1863, 25630, 45365]
1132		Eukaryote	Stramenopiles	Chrysophyceae	Ochromonas	danica		Prokaryote	Proteobacteria	Gammaproteobacteria	Enterobacter	aerogenes	Aaronsen 1974	10.1099/00221287-83-1-21	predation	Eukaryote;Stramenopiles;Chrysophyceae;Ochromonas;danica	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacter;aerogenes	[4, 8770, 9629, 0, 9733, 9767, 0, 9772]	[3, 2375, 3303, 46449, 46454, 46462]
1133		Eukaryote	Stramenopiles	Chrysophyceae	Ochromonas	danica		Prokaryote	Proteobacteria	Gammaproteobacteria	Escherichia	coli	Aaronsen 1974	10.1099/00221287-83-1-21	predation	Eukaryote;Stramenopiles;Chrysophyceae;Ochromonas;danica	Bacteria;Proteobacteria;Gammaproteobacteria;Escherichia;coli	[4, 8770, 9629, 0, 9733, 9767, 0, 9772]	[3, 2375, 3303, 0, 0, 0]
1134		Eukaryote	Stramenopiles	Chrysophyceae	Ochromonas	danica		Prokaryote	Proteobacteria	Gammaproteobacteria	Proteus	mirabilis	Aaronsen 1974	10.1099/00221287-83-1-21	predation	Eukaryote;Stramenopiles;Chrysophyceae;Ochromonas;danica	Bacteria;Proteobacteria;Gammaproteobacteria;Proteus;mirabilis	[4, 8770, 9629, 0, 9733, 9767, 0, 9772]	[3, 2375, 3303, 46449, 46493, 46519]
1135		Eukaryote	Stramenopiles	Chrysophyceae	Ochromonas	danica		Prokaryote	Proteobacteria	Gammaproteobacteria	Serratia	marcescens	Aaronsen 1974	10.1099/00221287-83-1-21	predation	Eukaryote;Stramenopiles;Chrysophyceae;Ochromonas;danica	Bacteria;Proteobacteria;Gammaproteobacteria;Serratia;marcescens	[4, 8770, 9629, 0, 9733, 9767, 0, 9772]	[3, 2375, 3303, 46449, 46536, 46541]
1136		Eukaryote	Stramenopiles	Chrysophyceae	Spumella			Prokaryote	Firmicutes	Bacilli	Bacillus	subtilis	Boenigk et al. 2001	10.1007/s002480000116	predation	Eukaryote;Stramenopiles;Chrysophyceae;Spumella	Bacteria;Firmicutes;Bacilli;Bacillus;subtilis	[4, 8770, 9629, 0, 9733, 9738, 0, 9749]	[3, 1672, 1673, 1674, 1680, 1688]
1137		Eukaryote	Stramenopiles	Chrysophyceae	Ochromonas			Prokaryote	Firmicutes	Bacilli	Bacillus	subtilis	Boenigk et al. 2001	10.1007/s002480000116	predation	Eukaryote;Stramenopiles;Chrysophyceae;Ochromonas	Bacteria;Firmicutes;Bacilli;Bacillus;subtilis	[4, 8770, 9629, 0, 9733, 9767, 0, 9772]	[3, 1672, 1673, 1674, 1680, 1688]
1138		Eukaryote	Stramenopiles	Chrysophyceae	Ochromonas			Prokaryote	Cyanobacteria	Cyanophyceae	Asterocapsa	nidulans	Daley et al. 1973	10.1111/j.1550-7408.1973.tb06001.x	predation	Eukaryote;Stramenopiles;Chrysophyceae;Ochromonas	Bacteria;Cyanobacteria;Cyanophyceae;Asterocapsa;nidulans	[4, 8770, 9629, 0, 9733, 9767, 0, 9772]	[3, 1500, 44560, 0, 0, 0]
1139		Eukaryote	Stramenopiles	Chrysophyceae	Ochromonas			Prokaryote	Cyanobacteria	Cyanophyceae	Microcystis	aeruginosa	va Donk et al. 2009	10.1111/j.1365-2427.2009.02227.x	predation	Eukaryote;Stramenopiles;Chrysophyceae;Ochromonas	Bacteria;Cyanobacteria;Cyanophyceae;Microcystis;aeruginosa	[4, 8770, 9629, 0, 9733, 9767, 0, 9772]	[3, 1500, 44560, 0, 0, 0]
