	Accession org1	Taxonomic level 1: org1	Taxonomic level 2: org1	Taxonomic level 3: org1	Genus org1	Species org1	Accession org2	Taxonomic level 1: org2	Taxonomic level 2: org2	Taxonomic level 3: org2	Genus org2	Species org2	Reference 	Link	Ecological interaction	key_org1	key_org2	lineage_org1	lineage_org2
124		Eukaryote	Rhizaria	Polycystinea	Phorticium	pylonium	HQ446972	Eukaryote	Alveolata	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	Bråte et al. 2012	10.1016/j.protis.2012.04.004	parasitism	Eukaryote;Rhizaria;Polycystinea;Phorticium;pylonium	Eukaryote;Alveolata;Syndiniales;Syndiniales_Group_I;Syndiniales_Group_I	[4, 8770, 9387, 9540, 9591, 0, 0, 0]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
125		Eukaryote	Rhizaria	Polycystinea	Streblacantha	circumtexta	HQ446963	Eukaryote	Alveolata	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	Bråte et al. 2012	10.1016/j.protis.2012.04.004	parasitism	Eukaryote;Rhizaria;Polycystinea;Streblacantha;circumtexta	Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;Syndiniales Group I;uncultured eukaryote	[4, 8770, 9387, 9540, 9591, 0, 0, 0]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
126		Eukaryote	Rhizaria	Polycystinea	Streblacantha	circumtexta	JN190886	Eukaryote	Alveolata	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	Bråte et al. 2012	10.1016/j.protis.2012.04.004	parasitism	Eukaryote;Rhizaria;Polycystinea;Streblacantha;circumtexta	Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;Syndiniales Group I;uncultured eukaryote	[4, 8770, 9387, 9540, 9591, 0, 0, 0]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
127		Eukaryote	Rhizaria	Acantharia	Acanthometra	pellucida		Eukaryote	Alveolata	Syndiniales	Amoebophrya	acanthometrae	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Acantharia;Acanthometra;pellucida	Eukaryote;Alveolata;Syndiniales;Amoebophrya;acanthometrae	[4, 8770, 9387, 9540, 9542, 0, 0, 0]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
128		Eukaryote	Rhizaria	Acantharia	Acanthometra	pellucida		Eukaryote	Alveolata	Dinoflagellata	Oodinium	acanthometrae	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Acantharia;Acanthometra;pellucida	Eukaryote;Alveolata;Dinoflagellata;Oodinium;acanthometrae	[4, 8770, 9387, 9540, 9542, 0, 0, 0]	[4, 8770, 8771, 9217, 9219, 0, 9320, 13779]
129		Eukaryote	Chlorophyta	Prasinophytae	Halosphaera			Eukaryote	Alveolata	Dinoflagellata	Myxodinium	pipiens	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Chlorophyta;Prasinophytae;Halosphaera	Eukaryote;Alveolata;Dinoflagellata;Myxodinium;pipiens	[4, 4152, 4153, 0, 5739, 0, 0, 0]	[4, 8770, 8771, 9217, 0, 0, 0, 0]
130		Eukaryote	Rhizaria	Cercozoa	Planktonetta	atlantica		Eukaryote	Alveolata	Syndiniales	Atlanticellodinium	tregouffi	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Cercozoa;Planktonetta;atlantica	Eukaryote;Alveolata;Syndiniales;Atlanticellodinium;tregouffi	[4, 8770, 9387, 9388, 0, 0, 0, 0]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
131		Eukaryote	Rhizaria	Acantharia	Sticholonche			Eukaryote	Alveolata	Syndiniales	Amoebophrya	sticholonchae	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Acantharia;Sticholonche	Eukaryote;Alveolata;Syndiniales;Amoebophrya;sticholonchae	[4, 8770, 9387, 9540, 9542, 0, 0, 0]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
132		Eukaryote	Rhizaria	Polycystinea	Actinosphaera			Eukaryote	Alveolata	Syndiniales	Keppenodinium	piriforme	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Polycystinea;Actinosphaera	Eukaryote;Alveolata;Syndiniales;Keppenodinium;piriforme	[4, 8770, 9387, 9540, 9591, 0, 0, 0]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
133		Eukaryote	Rhizaria	Polycystinea	Plegmosphaera			Eukaryote	Alveolata	Syndiniales	Keppenodinium	lobatum	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Polycystinea;Plegmosphaera	Eukaryote;Alveolata;Syndiniales;Keppenodinium;lobatum	[4, 8770, 9387, 9540, 9591, 0, 0, 0]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
134		Eukaryote	Rhizaria	Polycystinea	Spongosphaera			Eukaryote	Alveolata	Syndiniales	Keppenodinium	mycetoides	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Polycystinea;Spongosphaera	Eukaryote;Alveolata;Syndiniales;Keppenodinium;mycetoides	[4, 8770, 9387, 9540, 9591, 0, 0, 0]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
135		Eukaryote	Rhizaria	Polycystinea	Thalassicolla			Eukaryote	Alveolata	Syndiniales	Solenodinium	denseum	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Polycystinea;Thalassicolla	Eukaryote;Alveolata;Syndiniales;Solenodinium;denseum	[4, 8770, 9387, 9540, 9591, 9592, 0, 9601]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
136		Eukaryote	Rhizaria	Polycystinea	Thalassicolla			Eukaryote	Alveolata	Syndiniales	Solenodinium	fallax	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Polycystinea;Thalassicolla	Eukaryote;Alveolata;Syndiniales;Solenodinium;fallax	[4, 8770, 9387, 9540, 9591, 9592, 0, 9601]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
137		Eukaryote	Rhizaria	Polycystinea	Thalassicolla			Eukaryote	Alveolata	Syndiniales	Solenodinium	leptotaemia	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Polycystinea;Thalassicolla	Eukaryote;Alveolata;Syndiniales;Solenodinium;leptotaemia	[4, 8770, 9387, 9540, 9591, 9592, 0, 9601]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
138		Eukaryote	Rhizaria	Polycystinea	Collozoum			Eukaryote	Alveolata	Syndiniales	Syndinium	belari	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Polycystinea;Collozoum	Eukaryote;Alveolata;Syndiniales;Syndinium;belari	[4, 8770, 9387, 9540, 9591, 9592, 0, 9596]	[4, 8770, 8771, 9360, 9376, 0, 0, 9383]
139		Eukaryote	Rhizaria	Polycystinea	Collozoum			Eukaryote	Alveolata	Syndiniales	Syndinium	brandti	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Polycystinea;Collozoum	Eukaryote;Alveolata;Syndiniales;Syndinium;brandti	[4, 8770, 9387, 9540, 9591, 9592, 0, 9596]	[4, 8770, 8771, 9360, 9376, 0, 0, 9383]
140		Eukaryote	Rhizaria	Polycystinea	Collozoum			Eukaryote	Alveolata	Syndiniales	Syndinium	globiforme	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Polycystinea;Collozoum	Eukaryote;Alveolata;Syndiniales;Syndinium;globiforme	[4, 8770, 9387, 9540, 9591, 9592, 0, 9596]	[4, 8770, 8771, 9360, 9376, 0, 0, 9383]
141		Eukaryote	Rhizaria	Polycystinea	Collozoum			Eukaryote	Alveolata	Syndiniales	Syndinium	insidiosum	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Polycystinea;Collozoum	Eukaryote;Alveolata;Syndiniales;Syndinium;insidiosum	[4, 8770, 9387, 9540, 9591, 9592, 0, 9596]	[4, 8770, 8771, 9360, 9376, 0, 0, 9383]
142		Eukaryote	Rhizaria	Polycystinea	Collozoum			Eukaryote	Alveolata	Syndiniales	Syndinium	vernale	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Polycystinea;Collozoum	Eukaryote;Alveolata;Syndiniales;Syndinium;vernale	[4, 8770, 9387, 9540, 9591, 9592, 0, 9596]	[4, 8770, 8771, 9360, 9376, 0, 0, 9383]
143		Eukaryote	Rhizaria	Polycystinea	Sphaerozoum			Eukaryote	Alveolata	Syndiniales	Syndinium	astutum	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Polycystinea;Sphaerozoum	Eukaryote;Alveolata;Syndiniales;Syndinium;astutum	[4, 8770, 9387, 9540, 9591, 9592, 0, 9600]	[4, 8770, 8771, 9360, 9376, 0, 0, 9383]
144		Eukaryote	Rhizaria	Polycystinea	Sphaerozoum			Eukaryote	Alveolata	Syndiniales	Syndinium	breve	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Polycystinea;Sphaerozoum	Eukaryote;Alveolata;Syndiniales;Syndinium;breve	[4, 8770, 9387, 9540, 9591, 9592, 0, 9600]	[4, 8770, 8771, 9360, 9376, 0, 0, 9383]
145		Eukaryote	Rhizaria	Polycystinea	Sphaerozoum			Eukaryote	Alveolata	Syndiniales	Syndinium	chattoni	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Polycystinea;Sphaerozoum	Eukaryote;Alveolata;Syndiniales;Syndinium;chattoni	[4, 8770, 9387, 9540, 9591, 9592, 0, 9600]	[4, 8770, 8771, 9360, 9376, 0, 0, 9383]
146		Eukaryote	Rhizaria	Polycystinea	Sphaerozoum			Eukaryote	Alveolata	Syndiniales	Syndinium	dolosum	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Polycystinea;Sphaerozoum	Eukaryote;Alveolata;Syndiniales;Syndinium;dolosum	[4, 8770, 9387, 9540, 9591, 9592, 0, 9600]	[4, 8770, 8771, 9360, 9376, 0, 0, 9383]
147		Eukaryote	Rhizaria	Cercozoa	Aulacantha			Eukaryote	Alveolata	Syndiniales	Syndinium	borgerti	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Rhizaria;Cercozoa;Aulacantha	Eukaryote;Alveolata;Syndiniales;Syndinium;borgerti	[4, 8770, 9387, 9388, 9496, 0, 0, 9497]	[4, 8770, 8771, 9360, 9376, 0, 0, 9383]
148		Eukaryote	Alveolata	Dinoflagellata	unknown_dinoflagellate	unknown_dinoflagellate		Eukaryote	Alveolata	Syndiniales	Amoebophrya	ceratii	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Alveolata;Dinoflagellata;unknown_dinoflagellate;unknown_dinoflagellate	Eukaryote;Alveolata;Syndiniales;Amoebophrya;ceratii	[4, 8770, 8771, 9217, 0, 0, 0, 0]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
149		Eukaryote	Alveolata	Dinoflagellata	Leptodiscus	medusoides		Eukaryote	Alveolata	Syndiniales	Amoebophrya	leptodisci	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Alveolata;Dinoflagellata;Leptodiscus;medusoides	Eukaryote;Alveolata;Syndiniales;Amoebophrya;leptodisci	[4, 8770, 8771, 9217, 0, 0, 0, 0]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
150		Eukaryote	Alveolata	Dinoflagellata	Oodinium	acanthometrae		Eukaryote	Alveolata	Syndiniales	Amoebophrya	grassei	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Alveolata;Dinoflagellata;Oodinium;acanthometrae	Eukaryote;Alveolata;Syndiniales;Amoebophrya;grassei	[4, 8770, 8771, 9217, 9219, 0, 9320, 13779]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
151		Eukaryote	Alveolata	Ciliophora	Cyttarocylis	ehrenbergi		Eukaryote	Alveolata	Syndiniales	Euduboscquella	aspida	Cachon 1964		parasitism	Eukaryote;Alveolata;Ciliophora;Cyttarocylis;ehrenbergi	Eukaryote;Alveolata;Syndiniales;Euduboscquella;aspida	[4, 8770, 8771, 8848, 0, 0, 0, 0]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
152		Eukaryote	Alveolata	Ciliophora	Xystonella	lohmanni		Eukaryote	unknown_eukaryote	unknown_eukaryote	unknown_eukaryote	unknown_eukaryote	Cachon & Cachon 1987	http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf	parasitism	Eukaryote;Alveolata;Ciliophora;Xystonella;lohmanni	Eukaryote;unknown_eukaryote;unknown_eukaryote;unknown_eukaryote;unknown_eukaryote	[4, 8770, 8771, 8848, 8849, 9096, 9097, 9116]	0
153		Eukaryote	Alveolata	Ciliophora	Strombidium			Eukaryote	Alveolata	Syndiniales	Euduboscquella	caryophaga	Cachon 1964		parasitism	Eukaryote;Alveolata;Ciliophora;Strombidium	Eukaryote;Alveolata;Syndiniales;Euduboscquella;caryophaga	[4, 8770, 8771, 8848, 8849, 9096, 9185, 9189]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
154		Eukaryote	Alveolata	Ciliophora	Cyttarocylis			Eukaryote	Alveolata	Syndiniales	Euduboscquella	cnemata	Cachon 1964		parasitism	Eukaryote;Alveolata;Ciliophora;Cyttarocylis	Eukaryote;Alveolata;Syndiniales;Euduboscquella;cnemata	[4, 8770, 8771, 8848, 0, 0, 0, 0]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
155		Eukaryote	Alveolata	Ciliophora	Prorodon			Eukaryote	Alveolata	Syndiniales	Euduboscquella	caryophaga	Cachon 1964		parasitism	Eukaryote;Alveolata;Ciliophora;Prorodon	Eukaryote;Alveolata;Syndiniales;Euduboscquella;caryophaga	[4, 8770, 8771, 8848, 8849, 8863, 9022, 9027]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
156		Eukaryote	Alveolata	Dinoflagellata	Oodinium	fritillariae		Eukaryote	Alveolata	Syndiniales	Amoebophrya	grassei	Cachon 1964	“Contribution à l’étude des péridiniens parasites. Cytologie, cycles évolutifs.”, Ann. Sci. Nat. Zool., vol. 6, pp. 1-158, 1964	parasitism	Eukaryote;Alveolata;Dinoflagellata;Oodinium;fritillariae	Eukaryote;Alveolata;Syndiniales;Amoebophrya;grassei	[4, 8770, 8771, 9217, 9219, 0, 9320, 13779]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
157		Eukaryote	Alveolata	Dinoflagellata	Oodinium	poucheti		Eukaryote	Alveolata	Syndiniales	Amoebophrya	grassei	Cachon 1964	“Contribution à l’étude des péridiniens parasites. Cytologie, cycles évolutifs.”, Ann. Sci. Nat. Zool., vol. 6, pp. 1-158, 1964	parasitism	Eukaryote;Alveolata;Dinoflagellata;Oodinium;poucheti	Eukaryote;Alveolata;Syndiniales;Amoebophrya;grassei	[4, 8770, 8771, 9217, 9219, 0, 9320, 13779]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
158		Eukaryote	Alveolata	Dinoflagellata	Noctiluca	scintillans		Eukaryote	Alveolata	Syndiniales	Euduboscquella	melo	Cachon 1964		parasitism	Eukaryote;Alveolata;Dinoflagellata;Noctiluca;scintillans	Eukaryote;Alveolata;Syndiniales;Euduboscquella;melo	[4, 8770, 8771, 9217, 0, 9346, 0, 9349]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
159		Eukaryote	Alveolata	Dinoflagellata	Leptodiscus	medusoides		Eukaryote	Alveolata	Syndiniales	Euduboscquella	nucleocola	Cachon 1964		parasitism	Eukaryote;Alveolata;Dinoflagellata;Leptodiscus;medusoides	Eukaryote;Alveolata;Syndiniales;Euduboscquella;nucleocola	[4, 8770, 8771, 9217, 0, 0, 0, 0]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
160		Eukaryote	Alveolata	Dinoflagellata	Peridinium	sociale		Eukaryote	Alveolata	Syndiniales	Amoebophrya		Cachon 1964		parasitism	Eukaryote;Alveolata;Dinoflagellata;Peridinium;sociale	Eukaryote;Alveolata;Syndiniales;Amoebophrya	[4, 8770, 8771, 9217, 9219, 9295, 0, 9312]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
161		Eukaryote	Alveolata	Dinoflagellata	Plectodinium	nucleovolatum		Eukaryote	Alveolata	Syndiniales	Amoebophrya		Cachon 1964		parasitism	Eukaryote;Alveolata;Dinoflagellata;Plectodinium;nucleovolatum	Eukaryote;Alveolata;Syndiniales;Amoebophrya	[4, 8770, 8771, 9217, 0, 0, 0, 0]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
162		Eukaryote	Alveolata	Syndiniales	Keppenodinium	mycetoides		Eukaryote	Alveolata	Syndiniales	Amoebophrya		Cachon 1964		parasitism	Eukaryote;Alveolata;Syndiniales;Keppenodinium;mycetoides	Eukaryote;Alveolata;Syndiniales;Amoebophrya	[4, 8770, 8771, 9360, 9376, 0, 0, 0]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
163		Eukaryote	Stramenopiles	Chrysophyceae	Phaeosphaera	nucleoelongata		Eukaryote	Alveolata	Syndiniales	Syndinium	caryophagum	Cachon-Enjumet 1961	Contribution à l'étude des radiolaires phaeodariés. Archives de Zoologie Expérimentale et Générale 100:151-238.	parasitism	Eukaryote;Stramenopiles;Chrysophyceae;Phaeosphaera;nucleoelongata	Eukaryote;Alveolata;Syndiniales;Syndinium;caryophagum	[4, 8770, 9629, 0, 9733, 0, 0, 0]	[4, 8770, 8771, 9360, 9376, 0, 0, 9383]
164		Eukaryote	Alveolata	Dinoflagellata	Heterocapsa	rotundata	FJ357007 / FJ356776	Eukaryote	Alveolata	Syndiniales	Amoebophrya		Chambouvet et al. 2008	10.1126/science.1164387	parasitism	Eukaryote;Alveolata;Dinoflagellata;Heterocapsa;rotundata	Eukaryote;Alveolata;Syndiniales;Amoebophrya	[4, 8770, 8771, 9217, 9219, 9295, 0, 9308]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
165		Eukaryote	Alveolata	Dinoflagellata	Scrippsiella	trochoidea	FJ357007 / FJ356776	Eukaryote	Alveolata	Syndiniales	Amoebophrya		Chambouvet et al. 2008	10.1126/science.1164387	parasitism	Eukaryote;Alveolata;Dinoflagellata;Scrippsiella;trochoidea	Eukaryote;Alveolata;Syndiniales;Amoebophrya	[4, 8770, 8771, 9217, 9219, 0, 9320, 9325]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
166		Eukaryote	Chlorophyta	Prasinophytae	Halosphaera			Eukaryote	Alveolata	Dinoflagellata	Myxodinium		Cachon and Bouquaheux 1969	http://www.phycologia.org/toc/phya/8/3+and+4	parasitism	Eukaryote;Chlorophyta;Prasinophytae;Halosphaera	Eukaryote;Alveolata;Dinoflagellata;Myxodinium	[4, 4152, 4153, 0, 5739, 0, 0, 0]	[4, 8770, 8771, 9217, 0, 0, 0, 0]
167		Eukaryote	Alveolata	Dinoflagellata	Alexandrium	minutum	FJ357007 / FJ356776	Eukaryote	Alveolata	Syndiniales	Amoebophrya		Chambouvet et al. 2008	10.1126/science.1164387	parasitism	Eukaryote;Alveolata;Dinoflagellata;Alexandrium;minutum	Eukaryote;Alveolata;Syndiniales;Amoebophrya	[4, 8770, 8771, 9217, 9219, 9276, 0, 9278]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
168		Eukaryote	Alveolata	Dinoflagellata	Heterocapsa	triquetra	FJ357007 / FJ356776	Eukaryote	Alveolata	Syndiniales	Amoebophrya		Chambouvet et al. 2008	10.1126/science.1164387	parasitism	Eukaryote;Alveolata;Dinoflagellata;Heterocapsa;triquetra	Eukaryote;Alveolata;Syndiniales;Amoebophrya	[4, 8770, 8771, 9217, 9219, 9295, 0, 9308]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
169		Eukaryote	Alveolata	Dinoflagellata	Alexandrium	tamarense	HQ337038	Eukaryote	Alveolata	Syndiniales	Amoebophrya		Chambouvet et al. 2011	10.1016/j.resmic.2011.03.002	parasitism	Eukaryote;Alveolata;Dinoflagellata;Alexandrium;tamarense	Eukaryote;Alveolata;Syndiniales;Amoebophrya	[4, 8770, 8771, 9217, 9219, 9276, 0, 9278]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
170	HQ658160	Eukaryote	Alveolata	Dinoflagellata	Scrippsiella	trochoidea	HQ658161	Eukaryote	Alveolata	Syndiniales	Amoebophrya		Chambouvet et al. 2011	10.1016/j.protis.2010.12.001	parasitism	Eukaryote;Alveolata;Dinoflagellata;Scrippsiella;trochoidea	Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;Amoebophrya;Amoebophrya sp. RCC 1626	[4, 8770, 8771, 9217, 9219, 0, 9320, 9325]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
171		Eukaryote	Alveolata	Ciliophora	Podophrya			Eukaryote	Stramenopiles	Incertae_sedis_stramenopiles	Eurychasmopsis	multisecunda	Canter & Dick 1994	10.1016/S0953-7562(09)80347-X	parasitism	Eukaryote;Alveolata;Ciliophora;Podophrya	Eukaryote;Stramenopiles;Incertae_sedis_stramenopiles;Eurychasmopsis;multisecunda	[4, 8770, 8771, 8848, 0, 0, 0, 0]	[4, 8770, 9629, 0, 0, 0, 0, 0]
172		Eukaryote	Alveolata	Ciliophora	Favella			Eukaryote	Alveolata	Syndiniales	Euduboscquella	anisospora	Chatton 1952	Classe des Dinoflagellés ou Péridiniens. Dinoflagellés parasites. 	parasitism	Eukaryote;Alveolata;Ciliophora;Favella	Eukaryote;Alveolata;Syndiniales;Euduboscquella;anisospora	[4, 8770, 8771, 8848, 8849, 9096, 9097, 9105]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
173		Eukaryote	Alveolata	Ciliophora	Xystonella	lohmanni		Eukaryote	Alveolata	Syndiniales	Amoebophrya	tintinni	Chatton 1964	Contribution à l’étude des péridiniens parasites. Cytologie, cycles évolutifs. Ann. Sci. Nat. Zool. 6:1-158.	parasitism	Eukaryote;Alveolata;Ciliophora;Xystonella;lohmanni	Eukaryote;Alveolata;Syndiniales;Amoebophrya;tintinni	[4, 8770, 8771, 8848, 8849, 9096, 9097, 9116]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
174		Eukaryote	Alveolata	Dinoflagellata	Durinskia	dybowskii		Eukaryote	Alveolata	Syndiniales	Coccidinium	duboscqui	Chatton and Biecheler 1934	http://gallica.bnf.fr/ark:/12148/bpt6k3151h/f252.item	parasitism	Eukaryote;Alveolata;Dinoflagellata;Durinskia;dybowskii	Eukaryote;Alveolata;Syndiniales;Coccidinium;duboscqui	[4, 8770, 8771, 9217, 9219, 9295, 0, 9302]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
175		Eukaryote	Alveolata	Dinoflagellata	Peridinium	sociale		Eukaryote	Alveolata	Syndiniales	Coccidinium	legeri	Chatton and Biecheler 1934	http://gallica.bnf.fr/ark:/12148/bpt6k3151h/f252.item	parasitism	Eukaryote;Alveolata;Dinoflagellata;Peridinium;sociale	Eukaryote;Alveolata;Syndiniales;Coccidinium;legeri	[4, 8770, 8771, 9217, 9219, 9295, 0, 9312]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
176		Eukaryote	Alveolata	Dinoflagellata	Akashiwo	sanguinea		Eukaryote	Alveolata	Syndiniales	Amoebophrya		Coats & Park 2002	10.1046/j.1529-8817.2002.01200.x	parasitism	Eukaryote;Alveolata;Dinoflagellata;Akashiwo;sanguinea	Eukaryote;Alveolata;Syndiniales;Amoebophrya	[4, 8770, 8771, 9217, 9219, 9232, 9247, 9248]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
177		Eukaryote	Alveolata	Dinoflagellata	Gymnodinium	instriatum		Eukaryote	Alveolata	Syndiniales	Amoebophrya		Coats & Park 2002	10.1046/j.1529-8817.2002.01200.x	parasitism	Eukaryote;Alveolata;Dinoflagellata;Gymnodinium;instriatum	Eukaryote;Alveolata;Syndiniales;Amoebophrya	[4, 8770, 8771, 9217, 9219, 9232, 9234, 9239]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
178		Eukaryote	Alveolata	Dinoflagellata	Karlodinium	veneficum		Eukaryote	Alveolata	Syndiniales	Amoebophrya		Coats & Park 2002	10.1046/j.1529-8817.2002.01200.x	parasitism	Eukaryote;Alveolata;Dinoflagellata;Karlodinium;veneficum	Eukaryote;Alveolata;Syndiniales;Amoebophrya	[4, 8770, 8771, 9217, 9219, 9232, 9253, 9256]	[4, 8770, 8771, 9360, 9376, 0, 0, 9377]
179		Eukaryote	Alveolata	Ciliophora	Eutintinnus	pectinis		Eukaryote	Alveolata	Syndiniales	Euduboscquella	cachoni	Coats 1988		parasitism	Eukaryote;Alveolata;Ciliophora;Eutintinnus;pectinis	Eukaryote;Alveolata;Syndiniales;Euduboscquella;cachoni	[4, 8770, 8771, 8848, 8849, 9096, 9097, 9104]	[4, 8770, 8771, 9360, 9376, 0, 0, 0]
